Title,Authors,ISBN/UID,Read Status,Star Rating,Last Date Read
Wonder,R.J. Palacio,9780375869020,to-read,3.742424242424242,2026-02-12
Second Treatise of Government,John Locke,9780915144860,to-read,3.742424242424242,2026-02-12
The Devil's Arithmetic,Jane Yolen,9780142401095,to-read,3.742424242424242,2026-02-12
Agnes Grey,Anne Brontë,9780140432107,to-read,3.742424242424242,2026-02-12
The Hunger Games,Suzanne Collins,9780439023481,to-read,3.742424242424242,2026-02-12
Mockingjay,Suzanne Collins,9780439023511,to-read,3.742424242424242,2026-02-12
The Sun Also Rises,Ernest Hemingway,4580600366465,to-read,3.742424242424242,2026-02-12
The Scarlet Letter,Nathaniel Hawthorne,9798562632241,to-read,3.742424242424242,2026-02-12
Fahrenheit 451,Ray Bradbury,9781451673319,read,3.742424242424242,2025-02-02
The Red Pyramid,Rick Riordan,9781423113386,to-read,3.742424242424242,2026-02-12
101 Essays That Will Change The Way You Think,Brianna Wiest,1528473620820,to-read,3.742424242424242,2026-02-12
The Plague,Albert Camus,8176062650,to-read,3.742424242424242,2026-02-12
Dead Poets Society,N.H. Kleinbaum,9780553282986,to-read,3.742424242424242,2026-02-12
Lolita,Vladimir Nabokov,3695082981489,to-read,3.742424242424242,2026-02-12
Twenty-Two: Letters to a Young Woman Searching for Meaning,Allison Trowbridge,9780718078164,to-read,3.742424242424242,2026-02-12
Little Women,Louisa May Alcott,2097488465175,to-read,3.742424242424242,2026-02-12
Better Than the Movies,Lynn Painter,9781534467620,to-read,3.742424242424242,2026-02-12
The Picture of Dorian Gray,Oscar Wilde,9780141439570,to-read,3.742424242424242,2026-02-12
999 Lá Thư Gửi Cho Chính Mình,喵公子,9786049709746,to-read,3.742424242424242,2026-02-12
101 Essays That Will Change The Way You Think,Brianna Wiest,9576403431982,to-read,3.742424242424242,2026-02-12
A Curse for True Love,Stephanie Garber,9781250851208,to-read,3.742424242424242,2026-02-12
Picking Daisies on Sundays,Liana Cincotti,9798396490833,to-read,3.742424242424242,2026-02-12
